"These data are consistent with data reported to CDC for Abortion Surveillance -- United States, 2020 found at: https://www.cdc.gov/mmwr/volumes/71/ss/ss7110a1.htm?s_cid=ss7110a1_w",,Area of Residence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,Area,Alabama,Alaska,Arizona,Arkansas,California**,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland**,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,"New
Hampshire**",New Jersey,New Mexico,"New York 
(City and State)",North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,US Territory,Canada,Mexico,Other foreign country,Out-of-area (exact residence unknown),Unknown residence,Total by location of service
Area of Clinical Service,Alabama,"4,838",0,--,--,--,0,--,0,0,--,--,0,0,--,0,0,0,--,--,0,--,0,0,--,633,--,0,0,0,0,0,0,--,--,0,--,0,0,0,--,0,0,153,--,0,0,0,0,0,0,--,0,0,0,--,0,0,5713
,Alaska,0,"1,195",0,--,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,--,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,--,1206
,Arizona,0,0,"13,186",0,--,--,0,0,0,0,0,0,0,--,--,--,--,0,0,0,0,0,--,--,0,--,--,--,--,0,0,--,--,--,0,0,--,0,0,0,--,0,0,--,0,0,0,--,0,--,0,0,0,0,--,0,--,13273
,Arkansas,--,0,0,"2,764",--,--,0,0,0,0,0,0,0,0,0,0,0,--,--,0,--,0,0,0,85,--,0,0,0,0,0,0,--,0,0,0,--,0,0,0,0,0,163,74,0,0,0,0,0,0,0,0,0,0,0,0,0,3154
,California**,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,Colorado,--,0,0,--,--,"8,551",--,0,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,81,--,0,--,174,--,--,--,--,--,--,--,0,--,115,--,233,--,0,--,--,0,--,349,0,0,0,0,--,--,9869
,Connecticut,--,0,--,--,--,--,"8,659",0,--,--,--,0,0,0,0,0,0,0,--,0,--,114,0,0,0,0,0,0,0,--,--,0,91,--,0,0,0,0,--,201,--,0,0,--,0,0,--,0,0,0,0,--,0,0,--,0,0,9115
,Delaware,0,0,0,--,0,0,0,"2,009",--,--,0,0,0,0,--,0,0,0,0,0,138,0,--,0,0,0,0,0,0,0,--,0,--,--,0,--,0,0,80,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,2281
,District of Columbia,--,--,--,--,--,--,0,--,"1,292",--,--,--,0,--,--,0,0,--,--,0,"1,934",--,0,0,0,--,0,0,--,0,--,0,--,--,--,--,0,0,--,0,--,0,--,--,0,0,1059,0,--,--,0,0,0,0,0,--,--,4416
,Florida,"1,170",--,--,--,--,--,--,--,0,"70,880","1,452",--,0,--,--,--,--,--,268,--,--,--,--,--,408,--,0,--,--,--,--,--,72,--,--,--,--,--,--,--,--,0,--,95,0,--,--,--,--,--,0,0,0,0,0,145,0,74868
,Georgia,"2,499",--,--,--,--,--,0,0,--,112,"31,122",--,0,--,--,--,--,--,86,0,--,--,--,--,109,--,0,--,--,--,--,0,--,59,0,--,--,--,--,0,2040,0,1253,50,--,--,--,--,0,--,0,0,0,0,0,--,0,37533
,Hawaii,--,0,--,0,--,--,0,0,0,--,0,"1,775",--,0,0,0,0,0,--,0,0,--,0,--,0,0,0,0,--,--,0,0,--,0,0,--,0,0,0,0,0,0,0,--,0,0,0,0,--,0,0,--,0,0,0,0,--,1809
,Idaho,0,--,--,0,--,--,0,0,0,0,0,0,"1,574",0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,--,0,0,0,0,--,0,0,0,--,0,0,0,--,0,--,--,0,0,--,0,0,--,0,0,0,0,0,--,1680
,Illinois,0,0,0,74,0,0,0,0,0,0,0,0,0,"36,174","1,878",71,0,142,0,0,0,0,56,0,0,6578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,531,0,0,0,0,0,248,383,46243
